ID_CLIENTE,ANTIGUEDAD_MESES,TIPO_TARJETA,LINEA_CREDITO,RNG_LINEA,DEUDA_TARJETA,SEGMENTO_BANCO,AMBITO,ZONA,EDAD,SEXO,ECIVIL,Total_facturacion,Num_compras
C0000508,R4. [24-MAS>,CLASICA,2000,2000,1566.69,SEGMENTO BRONCE,L,NORTE,39,M,CASADO,1906.75,4
C0000510,R4. [24-MAS>,CLASICA,2000,2000,0,SEGMENTO PLATA,P,PROVINCIA,,M,SOLTERO,437.7,11
C0000511,R4. [24-MAS>,CLASICA,7900,8000,265.13,SEGMENTO PLATA,P,PROVINCIA,,M,SOLTERO,1499,3
C0000518,R3. [12-24 M>,CLASICA,2000,2000,1928.2,SEGMENTO BRONCE,L,NORTE,,M,SOLTERO,562.54,12
C0000520,R3. [12-24 M>,CLASICA,800,2000,0,SEGMENTO BRONCE,L,ESTE,,M,SOLTERO,720.73,1
C0000524,R4. [24-MAS>,CLASICA,30000,30000,111.06,SEGMENTO ORO,L,MODERNA,52,F,SOLTERO,1979.56,11
C0000525,R4. [24-MAS>,CLASICA,24000,24000,4968.81,SEGMENTO PLATA,L,MODERNA,50,M,CASADO,681.66,6
C0000526,R4. [24-MAS>,CLASICA,30000,30000,290.25,SEGMENTO BRONCE,L,MODERNA,73,M,CASADO,1559.97,15
C0000527,R4. [24-MAS>,CLASICA,30000,30000,65,SEGMENTO BRONCE,L,CENTRO,59,F,SOLTERO,7286.24,21
C0000528,R4. [24-MAS>,CLASICA,15000,16000,4276.21,SEGMENTO PLATA,L,MODERNA,54,F,SOLTERO,156,6
C0000529,R4. [24-MAS>,CLASICA,14060,16000,-0.46,SEGMENTO ORO,L,CENTRO,47,F,CASADO,312.54,1
C0000530,R4. [24-MAS>,CLASICA,9000,10000,-14.12,SEGMENTO PLATA,L,NORTE,35,F,SOLTERO,5431.78,18
C0000531,R4. [24-MAS>,CLASICA,6480,8000,6184.83,SEGMENTO PLATA,L,CENTRO,46,M,SOLTERO,2253.22,7
C0000532,R4. [24-MAS>,CLASICA,11150,12000,2646.56,SEGMENTO PLATA,L,CENTRO,47,F,SOLTERO,19800.7,22
C0000533,R4. [24-MAS>,CLASICA,7650,8000,2106.56,SEGMENTO PLATA,P,PROVINCIA,39,M,CASADO,563.52,5
C0000534,R4. [24-MAS>,CLASICA,2880,4000,32.85,SEGMENTO PLATA,L,CALLAO,50,F,SOLTERO,797.3,11
C0000535,R4. [24-MAS>,CLASICA,11240,12000,501.1,SEGMENTO PLATA,L,CENTRO,52,M,CASADO,882.81,6
C0000538,R4. [24-MAS>,CLASICA,1200,2000,549.48,SEGMENTO PLATA,L,MODERNA,36,F,SOLTERO,687.7,2
C0000539,R4. [24-MAS>,PLATINUM,30000,30000,201.4,SEGMENTO BRONCE,L,MODERNA,44,M,CASADO,1102.16,6
C0000540,R4. [24-MAS>,ORO,33000,34000,601.4,SEGMENTO ORO,L,MODERNA,59,M,DIVORCIADO,6067.76,11
C0000541,R4. [24-MAS>,CLASICA,3200,4000,0,SEGMENTO ORO,L,CALLAO,46,M,SOLTERO,3341.24,5
C0000543,R4. [24-MAS>,ORO,2800,4000,101.25,SEGMENTO ORO,L,MODERNA,38,M,SOLTERO,539.04,2
C0000544,R4. [24-MAS>,ORO,28500,30000,656.23,SEGMENTO PLATA,L,MODERNA,58,F,CASADO,3224.36,5
C0000545,R4. [24-MAS>,CLASICA,3000,4000,2741.17,SEGMENTO PLATA,L,MODERNA,38,M,SOLTERO,1780.09,25
C0000548,R4. [24-MAS>,ORO,6000,6000,726.1,SEGMENTO BRONCE,L,CENTRO,40,M,CASADO,481.9,4
C0000552,R4. [24-MAS>,CLASICA,28000,28000,8786.23,SEGMENTO PLATA,L,CENTRO,,F,CASADO,3977.45,16
C0000554,R4. [24-MAS>,CLASICA,15900,16000,2191.11,SEGMENTO PLATA,L,NORTE,,M,SOLTERO,1000,2
C0000556,R4. [24-MAS>,CLASICA,8000,8000,65.07,SEGMENTO PLATA,L,NORTE,,M,CASADO,1684.4,9
C0000557,R4. [24-MAS>,CLASICA,8600,10000,8.57,SEGMENTO BRONCE,L,MODERNA,,M,SOLTERO,628.44,8
C0000558,R4. [24-MAS>,CLASICA,2400,4000,622.3,SEGMENTO PLATA,L,NORTE,,M,CASADO,2492.45,4
C0000559,R4. [24-MAS>,CLASICA,12000,12000,78.38,SEGMENTO PLATA,L,MODERNA,41,M,SOLTERO,10,1
C0000560,R4. [24-MAS>,CLASICA,21600,22000,0,SEGMENTO PLATA,L,CALLAO,62,M,CASADO,3977,2
C0000561,R4. [24-MAS>,CLASICA,5000,6000,4802.7,SEGMENTO PLATA,L,NORTE,36,F,SOLTERO,798.5,16
C0000562,R4. [24-MAS>,CLASICA,25000,26000,23483.68,SEGMENTO BRONCE,L,NORTE,43,F,CASADO,25094.21,30
C0000563,R4. [24-MAS>,CLASICA,1000,2000,928.71,SEGMENTO PLATA,L,NORTE,33,F,SOLTERO,685.6,5
C0000566,R4. [24-MAS>,ORO,15000,16000,2429.97,SEGMENTO PLATA,L,MODERNA,56,M,SOLTERO,2355,9
C0000567,R4. [24-MAS>,CLASICA,6000,6000,2613.76,SEGMENTO BRONCE,L,NORTE,48,M,CASADO,2197.63,4
C0000569,R4. [24-MAS>,CLASICA,3700,4000,3220.29,SEGMENTO PLATA,L,MODERNA,34,F,SOLTERO,1056.55,8
C0000572,R4. [24-MAS>,CLASICA,2250,4000,2187.5,SEGMENTO PLATA,L,NORTE,46,F,SOLTERO,370.41,6
C0000575,R4. [24-MAS>,ORO,5000,6000,0,SEGMENTO ORO,L,CENTRO,36,M,CASADO,363.7,1
C0000578,R4. [24-MAS>,ORO,15000,16000,0,SEGMENTO PLATA,L,MODERNA,46,M,CASADO,1017.45,1
C0000579,R4. [24-MAS>,CLASICA,2500,4000,3,SEGMENTO PLATA,L,NORTE,47,M,CASADO,740.94,18
C0000580,R4. [24-MAS>,ORO,16500,18000,14328.41,SEGMENTO PLATA,L,MODERNA,36,M,SOLTERO,711.83,13
C0000581,R4. [24-MAS>,ORO,2900,4000,2559.91,SEGMENTO PLATA,L,ESTE,39,M,SOLTERO,3872.66,11
C0000585,R4. [24-MAS>,ORO,4000,4000,212.15,SEGMENTO ORO,L,MODERNA,40,M,CASADO,262.15,2
C0000589,R4. [24-MAS>,ORO,4000,4000,0,SEGMENTO PLATA,L,NORTE,27,F,SOLTERO,4735.51,21
C0000595,R4. [24-MAS>,PLATINUM,10000,10000,6997.79,SEGMENTO ORO,L,NORTE,40,F,SOLTERO,3878.37,12
C0000599,R3. [12-24 M>,ORO,5580,6000,366.15,SEGMENTO PLATA,L,NORTE,70,F,CASADO,6152.32,4
C0000600,R3. [12-24 M>,CLASICA,2300,4000,633.26,SEGMENTO PLATA,L,MODERNA,28,F,SOLTERO,3331.09,23
C0000602,R3. [12-24 M>,CLASICA,2000,2000,1775.41,SEGMENTO BRONCE,L,NORTE,43,F,SOLTERO,156,6
C0000604,R3. [12-24 M>,PLATINUM,13000,14000,14068.47,SEGMENTO ORO,L,MODERNA,37,M,CASADO,13192.44,30
C0000606,R3. [12-24 M>,ORO,6000,6000,1384.84,SEGMENTO PLATA,L,NORTE,20,M,SOLTERO,3126.77,11
C0000608,R3. [12-24 M>,CLASICA,10000,10000,9699.12,SEGMENTO PLATA,L,NORTE,58,F,CASADO,3398.71,21
C0000612,R3. [12-24 M>,ORO,5700,6000,1028.15,SEGMENTO ORO,L,NORTE,19,M,SOLTERO,9890.86,5
C0000614,R3. [12-24 M>,CLASICA,1600,2000,62.11,SEGMENTO PLATA,L,NORTE,44,F,SOLTERO,316.8,3
C0000616,R2. [6-12 M>,ORO,3000,4000,957.24,SEGMENTO PLATA,L,NORTE,26,M,SOLTERO,3170.42,16
C0000617,R2. [6-12 M>,CLASICA,1000,2000,0,SEGMENTO PLATA,L,NORTE,29,M,SOLTERO,181.8,3
C0000618,R2. [6-12 M>,ORO,6400,8000,699.57,SEGMENTO PLATA,L,NORTE,40,F,DIVORCIADO,4627.49,11
C0000619,R2. [6-12 M>,CLASICA,2000,2000,0,SEGMENTO PLATA,L,NORTE,33,M,SOLTERO,157.19,1
C0000621,R4. [24-MAS>,CLASICA,13500,14000,1455.66,SEGMENTO ORO,L,MODERNA,58,M,SOLTERO,4941.41,23
C0000622,R4. [24-MAS>,CLASICA,3400,4000,1780.64,SEGMENTO PLATA,L,CENTRO,,M,CASADO,1758.84,20
C0000623,R4. [24-MAS>,CLASICA,1500,2000,572.59,SEGMENTO PLATA,L,MODERNA,51,M,SOLTERO,3131.4,31
